user_id,username,email,password,role
0,schneiderdouglas,marquezdevin@example.org,RF_(8L&om6,admin
1,allisonhenry,colethomas@example.org,)8Ck@)DoRP,admin
2,nterry,wrightbarbara@example.net,%W2AJh3@Zy,admin
3,acastillo,linda35@example.org,9dxdG*mo&L,admin
4,christopher36,ehunt@example.net,$6E%@oqL+_,admin
5,shannonporter,hfitzpatrick@example.org,2)*17NJaGf,admin
6,wandahess,virginiaramirez@example.com,EP4z0DkLB&,admin
7,kcoleman,gentrymichael@example.com,*x3&_FByT6,admin
8,horichard,johnstonsandra@example.org,+&_Hi9Eb!$,admin
9,zstanley,russelllarry@example.net,(h#9jBdxC2,admin
