user_id,username,email,password,role
0,clarkashley,etate@example.net,oPs55VOj$H,admin
1,greencheryl,alvarezmike@example.net,&f7%gFrE%*,admin
2,ericsmith,andrewbryant@example.com,_Q!$9lToRR,admin
3,mwatson,travis26@example.com,aL4%dJgS+p,admin
4,smithkendra,david39@example.org,l5MaT^pb(M,admin
5,frankhooper,bobbyneal@example.org,^)h2ER&w)r,admin
6,kdavis,rubennolan@example.net,7f7T1r2o!g,admin
7,stoutnatalie,mgarza@example.org,fy1_*5Ih97,admin
8,kathythomas,qjohnson@example.com,R&l7GE0vvj,admin
9,luis05,kristinwilliams@example.org,V5qlOK6g*F,admin
10,lturner,brianreynolds@example.net,FfMi!wja^7,seller
11,susanbrown,gvelazquez@example.org,Z@RILGex$5,seller
12,xcole,kennedykayla@example.org,j2m7RACT*X,seller
13,garciadaniel,tiffanypace@example.org,$4g2Ungf4h,seller
14,jcook,chloedyer@example.org,+nEyp+Up62,customer
15,lynchscott,shortmark@example.net,(wVbJsH7^7,customer
16,melissaperez,phillipsmith@example.com,l+d_y6Flmh,customer
17,alexis37,pamela99@example.com,7U0EL)!w$6,customer
18,phillipjohnson,christophermitchell@example.org,@&1XX!fGbe,customer
19,jake12,evan16@example.org,_2zXc_Er)J,customer
20,rebekahphillips,qmartinez@example.org,!z2VukPXVx,customer
21,joneskelly,robertbush@example.com,4xQ6AaOo(P,seller
22,henrydonald,christinalee@example.net,z&8Gm%QG#P,customer
23,gordonsarah,sarahsmith@example.com,t5O_&NcD&c,seller
24,laura83,martinrobert@example.com,TG3Agn9%(%,customer
25,iwilkins,josephschultz@example.net,u#o6e+ykHE,customer
26,coxkaitlyn,fgardner@example.org,W&0N*9ef8Z,seller
27,steven37,murphysierra@example.net,Qo9GRXLw!1,customer
28,harrisjoel,mileschris@example.net,F$3Y*^ju&u,customer
29,zharrison,williamscott@example.org,Aj^d3T6dx$,seller
30,williamburke,fhood@example.com,(T5HaYnXf5,customer
31,andrewtaylor,dustin87@example.com,Cx%i33OxI9,seller
32,latoyagrimes,samantha22@example.com,(T2IvWJ_W@,seller
33,steelejudy,vincentbrown@example.net,C32Qp4T+!0,seller
34,timothystone,nmiller@example.com,Pb(Zz5Rsg^,seller
35,nelsonrobert,rachelmoon@example.org,@c(JUOfHM9,customer
36,shannon23,barnesjudith@example.org,cbBN^0_8%7,customer
37,ryanandrew,pcruz@example.net,QM14HPkub!,customer
38,nicoleflores,townsendhannah@example.org,)o5ShJbwS(,customer
39,grace77,fjones@example.com,qyDQu*zc)1,seller
40,harringtonkristin,jhanna@example.net,r3SB#0mV&L,customer
41,scottwalker,djohnson@example.com,9KWqmSWf!2,customer
42,jon48,mariayork@example.net,^2zNCez#Dv,seller
43,carolyn93,bellphillip@example.org,Mw_H6GrmzA,seller
44,duncankeith,ljackson@example.org,&4$GspInIy,seller
45,uwilliams,sierracooper@example.com,%B2x&DUn0h,seller
46,joshua77,abrewer@example.net,g80An8(+%L,customer
47,alejandro84,lgriffin@example.com,%5wOBybfS7,customer
48,martinezstephanie,rharrington@example.org,80mrRcsL$N,customer
49,colemannathaniel,davidhill@example.com,#3O&9MZ#Ck,customer
50,johnsonsarah,xrobinson@example.net,)1GTe$t7NS,seller
51,michelle93,lisabaldwin@example.net,#v1PO(Ya&0,customer
52,luisbrown,obeck@example.com,Iz95I2JUp!,customer
53,daviselizabeth,brendachristensen@example.com,9MiY18*v($,seller
54,lindalarson,srice@example.com,(R9UkKVoDJ,seller
55,schroederholly,paula79@example.net,uuck)7Dd)H,seller
56,osmith,perryphillips@example.net,@SvFomA8#1,seller
57,jjohnson,smithadam@example.org,$o9YLsqY8e,seller
58,whitneyhernandez,williambailey@example.net,Z$h1YG+m2M,customer
59,david79,nicholsonkimberly@example.com,iB!6mEZeN9,seller
60,carriehoward,phayes@example.org,a4*468UtE$,seller
61,lelliott,whill@example.net,+@s9Gewk9c,customer
62,hardykevin,qfarrell@example.net,h&67Y+zhzO,customer
63,heatherwilliamson,smartinez@example.net,56FQ$Eco*w,seller
64,ortiztina,wallacetyrone@example.com,l(C8CNq%Rr,seller
65,jennifer37,pharris@example.org,G8cwaIfC%F,seller
66,vanessa19,timothy19@example.com,_1G(TTLnP+,seller
67,ashleysmith,glove@example.org,$2xYa*BomH,customer
68,kjohnson,marissa24@example.com,*O_69cLf)h,seller
69,aaron26,zcarter@example.com,K$Q0Aykty5,seller
70,bonillagabriel,mooresteven@example.net,@A9ashCshN,customer
71,maria17,acevedojennifer@example.com,o7^aRR&u$i,customer
72,parkersean,austin81@example.net,)r2Gi+rcf+,seller
73,nhogan,ericdaniels@example.net,^E4JmNhZ!K,customer
74,robert64,jeremy60@example.net,IJO49C*e)8,seller
75,amanda46,jenniferjenkins@example.com,L$X5!iq!!2,seller
